contract_no,item_no,description_ar,unit,contractual_qty,unit_price,cumulative_qty,cumulative_pct,cumulative_amount,remaining_qty,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,21,توريد وتركيب شبكة حديد مش )طلاء بودرة بالفرن لون اسود(   مع تيوب حديد 50X50 ملم وسماكة 2 ملم لمنطقة القهوة والسعر يشمل طاولات الحديد في الوسط. مقاس 760X2750 ملم.Ref drawing: 07-MRA-DD-G.F-AR-607.A,,3.0,,,,,,الملخص التراكمي,23,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,22,توريد وتركيب وزرات خشب )Mdf( مع قشرة جوز بارتفاع 100مم وسمك 12مم شاملا التثبيت والدهانات والتشطيب والتلميع. ويشمل السعر أي مواد أو أعمال يتطلبها انهاء العمل طبقا للموضح بالمواصفات والمخططات وتعليمات المهندس المشرف .Ref drawing: 07-MRA-DD-(as per floor number)-AR-301,,4532.0,,,,,,الملخص التراكمي,24,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,23,توريد وتركيب وزرات خشب )Mdf( مع قشرة ،وينغي بارتفاع 100مم وسمك 12مم شاملا التثبيت والدهانات والتشطيب والتلميع. ويشمل السعر أي مواد أو أعمال يتطلبها انهاء العمل طبقا للموضح بالمواصفات والمخططات وتعليمات المهندس المشرفRef drawing: 07-MRA-DD-(as per floor number)-AR-301,,700.0,,,,,,الملخص التراكمي,25,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,24,"تصنيع وتركيب جدار خشبي ) Mdf(  مع قشرة السنديان المطلي بدهان ابيض تثبت على هيكل معدني، مع تصميم  فتحات على شكل مثلثات مضاءة من الداخل واحجام بمستويات مختلفة، حسب المناظير والرسومات وتعليمات المهندس المشرف.Code: WDP1-01,WDP1-02,WDP1-02.A",,431.0,,,,,,الملخص التراكمي,26,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,25,تصنيع وتركيب لوح خشبي بشكل طولي من  الـ )Mdf(  مع قشرة الجوز او ما يتناسب مع العينة المتفق عليها طول 25سم وعرض 10سم وارتفاع 270 سم الى جانب الابواب الزجاجية حسب المناظير والرسومات وتعليمات المهندس المشرف.Code: WDP2-08,,248.0,,,,,,الملخص التراكمي,27,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,26,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(  ، مثبتة على العامود الخرساني بدهان رمادي على شكل وهيئة الأسطح الاسمنتية )matt( بتصميم مع غروف حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP3-04,,345.0,,,,,,الملخص التراكمي,28,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,27,"تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as per floor number)-AR-604كسوة من خشب الـ)Mdf( ، مثبتة على القواطع الجبسية بدهان رمادي بيج  )matt( ، وبتصميم مع غروف حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WPD4-01,WDP4-01.A",,331.0,,,,,,الملخص التراكمي,29,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,28,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(، مثبتة على القواطع الجبسية مع قشرة صناعية بحسب العينة الموافق عليها وغروف حسب الرسومات والمناظير وتعليمات المهندس المشرفCode: WDP2,,2517.0,,,,,,الملخص التراكمي,30,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,29,"تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(  ، مثبتة على االقواطع الجبسية بدهان رمادي على شكل وهيئة الأسطح الاسمنتية ) matt( مع تصميم بفتحات حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP3-01, WDP3-02, WDP3-03",,846.0,,,,,,الملخص التراكمي,31,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,30,"تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ) Mdf(  ، مع قشرة السنديان المطلي بدهان ابيض  مع غروف وفتحات إضاءة مخفية مغلفة من الداخل بطبقة Acrylic مغشى  حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP1-03, WDP1-04, WDP1-05, WDP1-06",,456.0,,,,,,الملخص التراكمي,32,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,31,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ) Mdf(  ،  بدهان رمادي   مع غروف وفتحات إضاءة مخفية مغلفة من الداخل بطبقة Acrylic مغشى  حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP5,,53.0,,,,,,الملخص التراكمي,33,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,32,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ) Mdf(  ، المطلي بدهان رمادي  Code: WDP6,,29.0,,,,,,الملخص التراكمي,34,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,33,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD (as per floor number)-AR-604كسوة من خشب الـ) Mdf(  ، مع قشرة  )walnut( لمدخل كبار الشخصيات ومكتب مدير مكتب معالي الوزير     حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP7,,118.0,,,,,,الملخص التراكمي,35,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,34,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf( ، مع قشرة صناعية بلون رمادي بيج لمنطقة معالي الوزير   حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP8,,758.0,,,,,,الملخص التراكمي,36,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,35,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf( ،  مع قشرة ال )wenge( بشكل pattern مفرغة من الداخل مع ايطار خشبي ملبس بجلد لون بيج ومثبتة على الجدار الخشبي  لمنطقة معالي الوزير  حسب الرسومات والمناظير  وتعليمات المهندس المشرف.Code: P1,,60.0,,,,,,الملخص التراكمي,37,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,36,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(  ،  مع قشرة ال )wenge( بشكل pattern مفرغة من الداخل مع ايطار خشبي ومثبتة على الجدار الخشبي  لمنطقة التنفيذيين حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: P2,,75.0,,,,,,الملخص التراكمي,38,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,37,تصنيع وتركيب كسوة من الخشب للاسقف ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.]Ref drawing: 07-MRA-DD-(as per floor number)-AR-200 سقف من خشب الـ)Mdf( ،  مطلي بدهان أبيض بشكل pattern مفرغة من الداخل  ومثبتة على ألواح خشبية مع قشرة الجوز مثبتة بنظام تعليق متصلة بالسقف الخرساني  لمنطقة معالي الوزير حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDC-04,,162.0,,,,,,الملخص التراكمي,39,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,38,صنيع وتركيب كسوة من الخشب للاسقف ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-200سطح خشبي من من خشب الـ)Mdf(  مع قشرة صناعية بحسب العينة الموافق عليها وغروف مثبتة بنظام تعليق متصلة بالسقف الخرساني حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDC-01 & WDC-02,,684.0,,,,,,الملخص التراكمي,40,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,39,تصنيع وتركيب كسوة من الخشب للاسقف ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-200سطح خشبي03-WDC من من خشب الـ)Mdf( على شكل مربعات بسماكة تصميم  5سم، وفتحات على شكل مثلث مع اضاءة مخفية مغلفة من الاعلى بطبقة Acrylic شفاف مغشى سماكة 4مم مثبتة بنظام تعليق متصلة بالسقف الخرساني حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDC-03,,64.0,,,,,,الملخص التراكمي,41,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,40,تصنيع وتركيب خزائن خشبية ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-605خزانة خشبية01-WDC و 02-WDC من خشب الـ ) Mdf ( متداخلة الالوان من قشرة صناعية بحسب  العينة الموافق عليها والدهان الرمادي  على شكل وهيئة الاسطح الاسمنتية مثبتة على القواطع الجبسية مع اضاءة مخفية ومفصلات ومقابض مخفية وتصميم حسب الرسومات والمناظير وتعليمات المهندس المشرف.,,72.0,,,,,,الملخص التراكمي,42,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,41,تصنيع وتركيب خزائن خشبية ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرفRef drawing: 07-MRA-DD-(as per floor number)-AR-605خزانة خشبية03-WDC  من خشب الـ ) Mdf (  مع قشرة صناعية بحسب العينة الموافق عليها مثبتة على القواطع الجبسية  مع غروف ومفصلات ومقابض مخفية ،  حسب الرسومات والمناظير,,78.0,,,,,,الملخص التراكمي,43,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,42,تصنيع وتركيب خزائن خشبية ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-605خزانة خشبية04-WDC   من خشب الـ ) Mdf (  مطلية بدهان رمادي على شكل وهيئة الاسطح الاسمنتية مع غروف ومفصلات ومقابض مخفية ، وارفف مفتوحة من قشرة الجوز ،واضاءة مخفية ، مثبتة على الجدار الخارجي حسب الرسومات والمناظير  وتعليمات المهندس المشرف.,,297.0,,,,,,الملخص التراكمي,44,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,43,تصنيع وتركيب خزائن خشبية ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-605 خزانة خشبية05-WDC  من خشب الـ ) Mdf (  مع قشرة الوينغي الداكنة مع أرفف وإضاءة مخفية، أبواب الخزائن زجاجية   ribbed glass(مع إيطار خشبي وغروف ومفصلات ومقابض مخفية لمنطقة معالي الوزير حسب الرسومات والمناظير وتعليمات المهندس المشرف.,,69.0,,,,,,الملخص التراكمي,45,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,44,تصنيع وتركيب خزائن خشبية ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-605خزانة خشبية06-WDC   من خشب الـ ) Mdf (  مع قشرة الوينغي الداكنة مع أرفف وإضاءة مخفية، أبواب الخزائن زجاجية )black tinted clear glass(مع إيطار خشبي وغروف ومفصلات ومقابض مخفية لمنطقة معالي الوزير حسب الرسومات والمناظير وتعليمات المهندس المشرف. ,,62.0,,,,,,الملخص التراكمي,46,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,45, توريد وتنفيذ طبقتين من غشاء عازل للمياه من الـبيتومين ثخانة 4 مم للأماكن الرطبة وحتى ارتفاع 10   سم على الجدران المحيطة ويشمل تحضير السطوح ومواد حشو الزوايا وطبقات الحماية جيوتكستايل الأفُقية والعمودية. ويشمل السعر أي مواد وأعمال مطلوبة لاستكمال العمل حسب المواصفات والمخططات.وتعليمات المهندس المشرف,,1345.0,,,,,,الملخص التراكمي,47,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
